id(T),xyz(T),ID_LeftLane(L),ID_RightLane(L),lateral_id(L),direction(L),speed_min_limit(L),speed_max_limit(L)
20,429739.351 4414436.452 58.924 429738.788 4414432.487 58.898 429738.211 4414428.520 58.881 429737.432 4414424.598 58.848,,0,0,0,0,0
21,429730.482 4414426.005 58.773 429729.691 4414422.088 58.773 429728.897 4414418.167 58.746 429728.112 4414414.243 58.716 429727.322 4414410.322 58.689 429726.531 4414406.397 58.660 429725.741 4414402.478 58.650 429724.942 4414398.558 58.642 429724.151 4414394.640 58.605 429723.355 4414390.716 58.588 429722.557 4414386.794 58.569 429721.761 4414382.879 58.555 429720.996 4414379.173 58.552,,0,0,0,0,0
22,429733.909 4414425.311 58.819 429733.126 4414421.398 58.804 429732.335 4414417.477 58.790 429731.543 4414413.549 58.760 429730.751 4414409.630 58.742 429729.961 4414405.697 58.709 429729.178 4414401.779 58.697 429728.391 4414397.858 58.690 429727.604 4414393.945 58.644 429726.800 4414390.013 58.617 429726.002 4414386.087 58.615 429725.205 4414382.182 58.606 429724.406 4414378.483 58.603,,0,0,0,0,0
23,429737.432 4414424.598 58.848 429736.621 4414420.697 58.815 429735.907 4414416.761 58.794 429735.100 4414412.830 58.768 429734.213 4414408.931 58.761 429733.474 4414404.980 58.729 429732.687 4414401.067 58.702 429731.893 4414397.146 58.691 429731.101 4414393.240 58.644 429730.299 4414389.300 58.626 429729.457 4414385.377 58.621 429728.668 4414381.481 58.604 429727.884 4414377.779 58.604,,0,0,0,0,0
24,429664.448 4414352.730 58.249 429668.366 4414351.924 58.249 429672.284 4414351.118 58.249 429676.202 4414350.313 58.249 429680.120 4414349.507 58.249 429684.038 4414348.701 58.249 429687.956 4414347.896 58.249 429692.263 4414347.010 58.249 429695.857 4414346.271 58.249 429699.280 4414345.567 58.249 429699.713 4414345.478 58.249 429700.780 4414345.267 58.249,,0,0,0,0,0
25,429665.149 4414356.153 58.198 429669.072 4414355.372 58.191 429672.991 4414354.571 58.191 429676.910 4414353.771 58.190 429680.830 4414352.972 58.211 429684.749 4414352.173 58.227 429688.668 4414351.374 58.249 429692.918 4414350.507 58.249 429696.560 4414349.758 58.266 429699.995 4414349.063 58.275 429700.509 4414348.959 58.275 429701.467 4414348.720 58.275,,0,0,0,0,0
26,429665.849 4414359.574 58.150 429669.773 4414358.799 58.141 429673.694 4414358.007 58.141 429677.613 4414357.207 58.136 429681.534 4414356.413 58.169 429685.454 4414355.619 58.201 429689.374 4414354.822 58.236 429693.566 4414353.971 58.236 429697.257 4414353.215 58.275 429700.706 4414352.535 58.304 429701.300 4414352.418 58.304 429702.163 4414352.221 58.304,,0,0,0,0,0
27,429666.554 4414363.018 58.181 429670.475 4414362.229 58.169 429674.397 4414361.440 58.165 429678.316 4414360.639 58.171 429682.236 4414359.843 58.191 429686.156 4414359.049 58.206 429690.075 4414358.249 58.243 429694.210 4414357.407 58.257 429697.949 4414356.645 58.304 429701.406 4414355.956 58.324 429702.078 4414355.822 58.324 429702.857 4414355.711 58.324,,0,0,0,0,0
28,429703.038 4414360.018 58.321 429702.270 4414360.180 58.321 429698.814 4414360.932 58.297 429695.006 4414361.658 58.224 429690.936 4414362.452 58.192 429687.013 4414363.237 58.165 429683.097 4414364.050 58.144 429679.178 4414364.851 58.171 429675.259 4414365.651 58.186 429671.341 4414366.457 58.160 429667.423 4414367.267 58.160 429663.497 4414368.032 58.243 429659.574 4414368.811 58.255 429655.656 4414369.619 58.249 429652.927 4414370.177 58.316 429648.970 4414370.968 58.340 429645.014 4414371.762 58.340 429641.237 4414372.545 58.313 429637.228 4414373.363 58.349 429633.260 4414374.148 58.356 429628.575 4414375.080 58.395 429624.586 4414375.878 58.406 429620.653 4414376.663 58.517 429616.706 4414377.457 58.517 429612.791 4414378.243 58.535 429608.869 4414379.029 58.535 429604.959 4414379.842 58.570 429601.041 4414380.651 58.570 429597.115 4414381.439 58.588 429593.185 4414382.183 58.585 429589.251 4414382.976 58.591 429585.329 4414383.763 58.620 429581.570 4414384.547 58.618 429580.934 4414384.683 58.618 429577.029 4414385.469 58.649 429573.101 4414386.261 58.670 429569.172 4414387.052 58.684 429565.250 4414387.841 58.695 429561.354 4414388.625 58.728 429557.423 4414389.418 58.741 429553.494 4414390.209 58.767 429549.578 4414390.996 58.787 429545.658 4414391.789 58.795 429541.731 4414392.581 58.915 429537.809 4414393.373 58.927 429533.896 4414394.160 58.950 429529.971 4414394.948 58.950 429526.049 4414395.737 58.959 429522.118 4414396.528 58.959 429518.198 4414397.322 58.981 429514.282 4414398.115 58.981 429510.364 4414398.905 58.995 429506.440 4414399.695 58.995 429502.519 4414400.488 59.009 429498.593 4414401.281 59.009 429494.671 4414402.075 59.026 429490.759 4414402.867 59.116 429486.833 4414403.664 59.116 429482.913 4414404.456 59.130 429478.991 4414405.243 59.130 429475.066 4414406.040 59.143 429471.150 4414406.834 59.156,,0,0,0,0,0
29,429703.817 4414363.426 58.292 429702.971 4414363.604 58.292 429699.500 4414364.335 58.292 429695.651 4414365.107 58.166 429691.639 4414365.887 58.166 429687.717 4414366.676 58.114 429683.804 4414367.504 58.114 429679.881 4414368.285 58.156 429675.957 4414369.062 58.156 429672.039 4414369.871 58.103 429668.126 4414370.699 58.103 429664.196 4414371.449 58.248 429660.269 4414372.209 58.248 429656.355 4414373.033 58.195 429653.157 4414373.697 58.320 429649.200 4414374.489 58.320 429645.243 4414375.281 58.320 429641.381 4414376.101 58.267 429633.441 4414378.051 58.297,,0,0,0,0,0
30,429704.601 4414366.851 58.272 429703.675 4414367.044 58.298 429700.193 4414367.769 58.272 429696.298 4414368.562 58.178 429692.344 4414369.334 58.136 429688.423 4414370.124 58.130 429684.507 4414370.940 58.130 429680.583 4414371.719 58.145 429676.660 4414372.496 58.145 429672.741 4414373.297 58.118 429668.825 4414374.114 58.118 429664.900 4414374.888 58.191 429660.977 4414375.669 58.191 429657.061 4414376.483 58.164 429653.388 4414377.242 58.224 429649.423 4414377.915 58.248 429645.446 4414378.388 58.248,,0,0,0,0,0
31,429651.959 4414355.317 58.182 429652.698 4414355.167 58.182 429656.618 4414354.371 58.182 429660.532 4414353.546 58.186 429664.448 4414352.730 58.249,,0,0,0,0,0
32,429652.188 4414358.828 58.167 429653.397 4414358.582 58.150 429657.319 4414357.795 58.150 429661.230 4414356.953 58.144 429665.149 4414356.153 58.198,,0,0,0,0,0
33,429652.414 4414362.295 58.221 429654.088 4414361.956 58.203 429658.010 4414361.169 58.203 429661.926 4414360.357 58.171 429665.849 4414359.574 58.150,,0,0,0,0,0
34,429652.640 4414365.764 58.254 429654.787 4414365.373 58.242 429658.712 4414364.602 58.227 429662.634 4414363.816 58.192 429666.554 4414363.018 58.181,,0,0,0,0,0
35,429434.611 4414406.864 59.291 429438.568 4414406.085 59.227 429442.940 4414405.193 59.212 429446.863 4414404.391 59.212 429450.777 4414403.592 59.199 429452.091 4414403.324 59.199 429453.930 4414402.950 59.199 429457.907 4414402.136 59.157 429461.873 4414401.323 59.157 429465.792 4414400.521 59.144 429469.705 4414399.721 59.127 429473.617 4414398.930 59.099 429477.554 4414398.162 59.099 429481.474 4414397.366 59.060 429485.390 4414396.548 59.051 429489.324 4414395.750 59.031 429493.224 4414394.960 59.005 429497.148 4414394.163 58.996 429501.081 4414393.368 58.977 429505.002 4414392.579 58.968 429508.931 4414391.789 58.898 429512.843 4414390.992 58.883 429516.753 4414390.204 58.861 429520.675 4414389.416 58.861 429524.620 4414388.624 58.846 429528.542 4414387.838 58.846 429532.470 4414387.041 58.828 429536.371 4414386.249 58.828 429540.294 4414385.459 58.806 429544.230 4414384.670 58.773 429548.151 4414383.880 58.766 429552.059 4414383.098 58.758 429556.001 4414382.312 58.745 429559.942 4414381.501 58.707 429563.803 4414380.721 58.694 429567.724 4414379.926 58.642 429571.663 4414379.123 58.546 429575.601 4414378.332 58.529 429579.483 4414377.556 58.529 429580.332 4414377.387 58.529 429583.880 4414376.669 58.514 429587.800 4414375.874 58.514 429591.752 4414375.080 58.489 429595.673 4414374.292 58.489 429599.604 4414373.495 58.471 429603.526 4414372.700 58.451 429607.431 4414371.911 58.451 429611.351 4414371.118 58.451 429615.258 4414370.339 58.438 429619.241 4414369.539 58.413 429623.189 4414368.751 58.406 429627.263 4414367.912 58.366 429632.917 4414366.755 58.323 429636.883 4414365.921 58.307,,0,0,0,0,0
